,Location,Name,Rooms,Guests,Pets,Wifi,Free_parking,Refrigerator,Kitchen,Smoke_alarm,Cooling,Heating,TV,Bed_lines,Washer,Super_host,Price,Review_count,Total_rate
1024,Chicago,Hotel room in Chicago,1,1,False,True,True,,,,True,True,,True,True,False,277,1325,4.55
1025,Chicago,Condo in Chicago,1,2,True,True,True,,True,,True,True,True,,,False,767,12,4.83
1026,Chicago,Room in Austin,1,1,False,True,True,True,True,True,True,True,True,True,True,False,232,36,4.81
1027,Chicago,Apartment in Near North Side,1,2,True,True,True,True,True,,True,True,True,True,True,False,1278,173,4.83
1028,Chicago,Room in Pilsen Historic District,1,1,False,True,True,True,True,True,True,True,True,,,True,393,15,5.0
1029,Chicago,Room in Austin,1,2,False,True,True,True,True,True,True,True,True,True,True,False,307,34,4.97
1030,Chicago,Apartment in Hyde Park,1,3,True,True,True,True,True,,True,True,True,True,True,False,592,20,4.3
1031,Chicago,Room in Brighton Park,1,2,False,True,True,True,True,True,True,True,True,True,,False,301,24,4.71
1032,Chicago,Room in Hyde Park,1,1,False,True,True,True,True,,True,True,True,True,True,True,666,218,4.99
1033,Chicago,Apartment in West Rogers Park,1,2,False,True,,True,True,,True,True,True,True,,True,674,9,4.78
1034,Chicago,Apartment in East Rogers Park,1,2,False,True,,True,True,,True,True,True,,True,False,671,0,0.0
1035,Chicago,Apartment in Hyde Park,1,2,False,True,True,,True,,True,True,True,True,True,False,789,28,4.71
1036,Chicago,Room in Douglas Park,1,1,False,True,True,True,True,True,,True,,,,False,269,228,4.42
1037,Chicago,Apartment in Chicago,1,2,False,True,True,True,True,,True,True,True,True,,False,473,8,5.0
1038,Chicago,Condo in Chicago,1,2,True,True,True,,True,,True,True,True,,,False,767,12,4.83
1039,Chicago,Apartment in Austin,3,4,False,True,True,True,True,,True,True,True,True,True,False,490,53,4.42
1040,Chicago,Apartment in West Rogers Park,1,4,False,True,True,True,True,,True,True,True,True,,True,731,6,5.0
1041,Chicago,Apartment in Hyde Park,1,3,True,True,True,True,True,,True,True,True,True,True,False,649,15,4.13
1042,Chicago,Place to stay in Bridgeport,1,2,False,True,True,True,True,,True,True,True,,True,False,422,3,4.67
1043,Chicago,Room in North Park,1,1,False,True,True,True,True,True,True,True,,True,True,True,377,35,4.74
1044,Chicago,Room in Chicago,1,1,False,True,True,True,True,True,True,True,True,True,True,False,232,36,4.81
1045,Chicago,Apartment in Chicago,1,2,True,True,True,True,True,,True,True,True,True,True,False,1278,173,4.83
1046,Chicago,Apartment in Chicago,1,3,True,True,True,True,True,,True,True,True,True,True,False,592,20,4.3
